Year,Sample_Code,Group,Sample,Easting,Northing,Longitude,Latitude,Drain,Zone,salinity,Sal_zone,pH,EC,Cl,NOx_N,PO4_P,SO4_S,Al,As,B,Ba,Ca,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Rb,S,Si,Sr,V,Zn,La,Nd,Gd
2019,2019_06_5,6,5,400334,6468238,115.9458055,-31.91737336,Chapman,Chapman_M,Fresh,CD_fresh,7.44,840,NA,NA,NA,NA,0.016210208,0.009600189,0.20629718,0.047753576,50.04119421,NA,NA,NA,2.215723599,18.08917553,0.01748827,19.80674014,0.478903984,0.001382713,174.2810063,NA,0.489234008,0.027056371,4.086025054,7.418314212,0.262389853,0.005434823,NA,NA,NA,NA
2019,2019_06_6,6,6,400334,6468241,115.9458058,-31.91734629,Chapman,Chapman_M,Fresh,CD_fresh,7.45,668,NA,NA,NA,NA,0.105423897,0.014175154,0.205686045,0.070354458,48.22940193,NA,NA,0.017166091,2.135749801,19.5831142,0.016303529,17.51668571,0.433277971,0.001614362,149.223982,NA,0.560093614,0.026333236,2.161139116,7.15722395,0.261975201,0.004771045,NA,NA,NA,NA
2019,2019_07_1,7,1,400422,6468338,115.9467464,-31.91647903,Chapman,Chapman_N,Fresh,CD_fresh,7.09,1018,NA,NA,NA,NA,0.015529925,0.058036216,0.191339941,0.067927438,52.92989958,NA,NA,NA,13.58255948,11.05026652,NA,12.03160414,0.50980031,0.001233741,100.4684414,NA,0.152063095,0.019762073,NA,7.661187403,0.256492888,0.00587372,NA,NA,NA,NA
2019,2019_07_2,7,2,400421,6468334,115.9467354,-31.91651503,Chapman,Chapman_N,Fresh,CD_fresh,7.28,926,NA,NA,NA,NA,0.030064296,0.045282385,0.186147799,0.05007745,49.96597168,NA,NA,NA,11.91676126,12.88169578,0.01738636,11.92651975,0.622503813,0.001491937,99.29060843,NA,1.436201917,0.022200291,0.727619954,6.674389759,0.223440706,0.006569862,NA,NA,NA,NA
2019,2019_07_3,7,3,400419,6468329,115.9467138,-31.91655996,Chapman,Chapman_N,Fresh,CD_fresh,7.07,951,NA,NA,NA,NA,0.024085904,0.040704344,0.183452732,0.063930352,49.54357393,NA,NA,NA,13.15171801,13.07160693,0.017429168,11.85590626,0.568391678,0.001107456,99.22659843,NA,1.179750539,0.020074241,0.849843898,6.75723037,0.226564098,0.007949752,NA,NA,NA,NA
2019,2019_07_4,7,4,400415,6468327,115.9466712,-31.91657765,Chapman,Chapman_N,Fresh,CD_fresh,7.21,947,NA,NA,NA,NA,0.028165992,0.037476467,0.182497026,0.085373755,47.16189679,NA,NA,NA,12.72679616,12.52217537,0.01809627,11.97948484,0.541965079,0.00085115,99.96349391,NA,0.907513379,0.020724286,0.737968958,6.742795438,0.220009872,0.0057376,0.004878223,NA,NA,NA
2019,2019_07_5,7,5,400412,6468322,115.946639,-31.91662248,Chapman,Chapman_N,Fresh,CD_fresh,7.12,960,NA,NA,NA,NA,0.036761568,0.02964816,0.182263956,0.088190455,46.43161685,NA,NA,NA,12.86877144,12.62671349,0.01680228,11.70336793,0.549803897,0.001020123,100.9099862,NA,0.62522336,0.02232172,0.895067948,6.877915606,0.214831209,0.006963817,0.005412412,NA,NA,NA
2019,2019_07_6,7,6,400408,6468318,115.9465963,-31.91665822,Chapman,Chapman_N,Fresh,CD_fresh,7.19,964,NA,NA,NA,NA,0.033401651,0.031056312,0.17696234,0.09461939,44.75589292,NA,NA,NA,8.566182507,14.44154025,0.016449405,11.8380943,0.577836885,0.001431329,97.58889865,NA,0.530611944,0.01864377,1.096580392,6.456734022,0.209360448,0.005110643,NA,NA,NA,NA
2019,2019_07_7,7,7,400405,6468315,115.9465643,-31.91668501,Chapman,Chapman_N,Fresh,CD_fresh,7.11,964,NA,NA,NA,NA,0.019509911,0.028390025,0.17759126,0.052213299,46.47871374,NA,NA,NA,9.393811143,15.22086906,0.017203887,12.1236161,0.621628958,0.001149021,100.429092,NA,0.236231405,0.023425731,1.088672393,6.617403783,0.210563948,0.006186456,NA,NA,NA,NA
2019,2019_07_8,7,8,400399,6468309,115.9465002,-31.91673861,Chapman,Chapman_N,Fresh,CD_fresh,7.03,1109,NA,NA,NA,NA,0.095445311,0.031939015,0.189081209,0.110511632,49.98742915,NA,NA,0.014726119,13.60504905,11.09086346,0.017869671,14.3954162,0.504752183,0.000951665,111.4631899,NA,0.357359905,0.01908392,0.686066849,8.385538306,0.251782483,0.008896507,0.017774321,NA,NA,NA
