Site,Horizon,Longitude,Latitude,Depth_upper,Depth_lower,Ca,Mg,Fe,Mn,P,Zn,S,As,Cu,Pb,Ba,Be,Ce,Co,Cr,Ga,Gd,Ge,Hf,La,Mo,Nd,Sc,Sr,Th,V,Y
616-02-087,coffee-rock,115.8625,-32.2326,200,300,221,128,2128,16,53,NA,579,1.64,2.77,3.45,5.28,0.113,13.81,0.4,35.13,5.28,1.63,0.25,0.34,6.76,2.69,6.25,2.47,2.17,7.53,8.62,4.44
616-02-087,coffee-rock,115.8625,-32.2326,300,400,536,348,538,8,37,NA,964,1.14,0.18,2.28,10.07,0.2,11.99,0.41,23.81,8.69,1.18,0.28,0.27,6.17,0.58,5.48,1.85,5.9,6.72,9.12,3.16
616-02-087,B-horizon,115.8625,-32.2326,500,600,19,21,339,3,5,NA,171,0.07,0.24,0.65,2.93,0.009,1.89,0.16,3.3,0.29,0.1,0.05,0.01,1.15,0.25,0.7,0.09,0.39,0.69,1.77,0.17
616-02-094,B-horizon,115.9432,-32.0336,50,75,345,546,37195,71,50,NA,4256,3.19,11.2,35.7,77.34,0.293,33.28,3.53,30.48,17.33,NA,NA,NA,11.36,8.48,10.37,6.87,13.2,13.56,63.3,5.47
616-02-094,B-horizon,115.9432,-32.0336,150,175,225,582,14223,37,13,NA,1782,NA,2.08,27.67,22.3,0.193,14.9,3.06,16.65,7.26,NA,NA,0.02,6.49,1.12,4.86,2.21,8.11,6.92,19.27,2.39
616-02-094,E-horizon,115.9432,-32.0336,400,425,127,409,3250,38,7,NA,194,NA,1.4,12.74,8.19,0.282,26.12,4.96,17.17,5.32,1.35,NA,0.05,9.54,0.41,8.37,1.9,1.94,9.7,11.72,3.68
616-02-099,E-horizon,115.9023,-32.1966,25,50,260,61,530,8,35,NA,49,0.21,0.34,1.74,1.84,0.005,1,0.18,1.83,0.56,0.05,NA,NA,0.51,0.27,0.37,0.04,1.6,0.24,1.02,0.14
616-02-099,B-horizon,115.9023,-32.1966,250,275,325,32,481,8,6,NA,165,0.2,0.51,0.97,4.61,0.005,1.17,0.19,2.02,0.49,0.04,NA,NA,0.69,3.7,0.42,0.16,1.31,0.72,1.85,0.14
616-02-099,E-horizon,115.9023,-32.1966,350,375,382,103,3417,23,7,NA,2424,3.99,1.12,1.73,3.73,0.021,3.06,0.88,2.91,1.29,0.01,NA,NA,1.51,6.43,1.19,0.33,1.7,1.02,3.18,0.49
616-02-100,E-horizon,115.8762,-32.0202,25,50,10380,407,7677,26,55,26.98,133,0.37,6.9,99.2,11.11,0.023,7.16,0.75,8.9,4.07,NA,NA,NA,3.79,0.4,2.35,0.42,42.18,1.84,22.18,1.08
616-02-100,Peaty,115.8762,-32.0202,80,100,2968,1212,2699,16,66,NA,1102,1.68,1.39,5.5,27.76,0.194,28.47,0.56,9.69,1.49,1.67,NA,0.02,14.15,1.93,8.97,2.27,19.9,2.59,14.62,6.82
616-02-100,B-horizon,115.8762,-32.0202,175,200,167,135,3674,39,67,NA,1610,1.33,0.37,5.98,8.81,0.032,19.62,0.6,10.12,2.73,0.9,NA,0.02,10.2,5.87,7.34,0.77,1.87,6.2,10.39,3.38
616-02-100,E-horizon,115.8762,-32.0202,425,450,19,16,92,1,4,NA,36,0.07,0.05,0.51,1.89,0.005,1.22,0.12,1.97,0.37,0.1,NA,0.01,0.87,0.09,0.49,0.06,0.41,0.51,0.14,1.17
616-02-113,A-horizon,115.815,-31.8169,0,50,1256,176,970,8,50,21.96,214,0.47,1.38,13.32,12.28,0.034,2.6,0.22,3.66,0.52,0.09,NA,0.01,1.1,0.11,0.7,0.11,4.72,0.38,2.32,0.6
