"Sample","Easting","Northing","Type","Zone","Depth_top","Depth_bot","Quartz","Kaolinite","Illite","Feldspars","Biotite","Halite","Gypsum","Pyrite","Hornblende","Jarosite","Calcite","Palygorskite","Phlogopite","Haematite","Gibbsite","Rutile","Goethite","Dolomite","Nesquehonite","Halloysite","Clinochlore","Vermiculite","Magnetite","Thenardite","Cristobalite","Alunite","Tremolite","Artinite","Lepidocrocite","Cordierite","Talc"
"ENVT3361-G3-S3",400270,6468202,"Surface","N-pond",0,10,6.9,39.6,16.3,20.6,NA,15.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G4-S1",400228,6467997,"Shallow core","Saltmarsh",0,15,8.5,46,17.4,22.5,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G4-S4",400228,6467997,"Shallow core","Saltmarsh",45,60,41.4,16,3.7,38.3,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G5-S1",399974,6467993,"Surface","SW-marsh",0,10,6.3,49.8,19.9,20.4,NA,2.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G5-S1.2",399974,6467993,"Surface","SW-marsh",0,10,7.8,41.7,30.4,18.9,NA,1.2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G5-S4",399972,6467985,"Surface","SW-marsh",0,10,8.2,47.6,22.6,20.4,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G6-S3",399995,6468054,"Surface","SW-marsh",0,10,4.9,37.5,45.7,10.6,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G6-S4",399995,6468054,"Surface","SW-marsh",0,10,6.5,37.3,44.9,10,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G7-S1",399950,6467980,"Surface","SW-marsh",0,10,8.7,50.4,16.6,23.7,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G7-S3",399945,6467983,"Surface","SW-marsh",0,10,8.4,46.8,20.5,22.1,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G7-S5",399945,6467995,"Surface","SW-marsh",0,10,6.9,41.4,27.8,19.2,NA,4.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G8-Core0-10",399975,6468066,"Surface","Kitchener",0,10,6.6,49.2,23.6,19.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G8-Core11-20",399975,6468066,"Shallow core","Kitchener",11,20,7,53.5,20,18.9,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G8-Core21-30",399975,6468066,"Shallow core","Kitchener",21,30,6.9,40,41.6,10.8,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G8-Core31-40",399975,6468066,"Shallow core","Kitchener",31,40,7.7,37.5,40.6,13.6,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G9-S1",399995,6468066,"Surface","SW-marsh",0,10,5.8,36.8,44.2,NA,NA,12.4,0.2,NA,NA,0.01,0.3,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G9-S2",399996,6468051,"Surface","SW-marsh",0,10,1.4,NA,NA,0.01,NA,54.6,12.7,2.9,NA,10,NA,0.9,NA,1.3,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G9-S3",399993,6468044,"Surface","SW-marsh",0,10,1.4,2.7,NA,0.01,NA,34.3,12,9.7,NA,29.9,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G9-S4",4e+05,6468040,"Surface","SW-marsh",0,10,2.6,26.3,NA,5.8,NA,27.4,5.5,23.8,NA,8.7,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G10-S1",400035,6468100,"Surface","SW-marsh",0,10,9.3,33.6,30.6,12.5,NA,13.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G10-S4",400035,6468100,"Surface","SW-marsh",0,10,8.7,34.9,42,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G10-S5",400035,6468100,"Surface","SW-marsh",0,10,12.5,48.9,16.8,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G10-S6",400035,6468100,"Surface","SW-marsh",0,10,21.1,39.9,21.1,15.5,NA,0.3,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G11-S4",400406,6468321,"Surface","NE-pond",0,10,5.3,37.5,43.8,10.2,NA,2.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G11-C",400389,6468312,"Surface","NE-pond",0,10,8.7,45.7,27.3,17.9,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G11-SE",400411,6468348,"Surface","LimePath",0,10,6.5,49.2,23.2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
