Pos. [°2?],Intensity [Counts],,,
19.8199,2183.6814,,,
19.8419,2069.2486,,,
19.8639,2206.8207,,,
19.8859,2122.2565,,,
19.9079,2109.2149,,,
19.9299,2130.9616,,,
19.9519,2086.5104,,,
19.9739,2159.8024,,,
19.9959,2198.8137,,,
20.0179,2226.2301,,,
20.0399,2202.8338,,,
20.0619,2201.5723,,,
20.0839,2201.5088,,,
20.1059,2166.4367,,,
20.1279,2233.61,,,
20.1499,2176.4809,,,
20.1719,2196.2561,,,
20.1939,2165.7503,,,
20.2159,2192.3672,,,
20.2379,2193.9106,,,
20.2599,2218.022,,,
20.2819,2178.9145,,,
20.3039,2200.7064,,,
20.3259,2146.4002,,,
20.3479,2167.972,,,
20.3699,2213.1053,,,
20.3919,2254.5949,,,
20.4139,2284.4779,,,
20.4359,2271.7859,,,
20.4579,2175.3639,,,
20.4799,2224.8673,,,
20.5019,2269.9077,,,
20.5239,2311.2837,,,
20.5459,2298.6342,,,
20.5679,2314.6353,,,
20.5899,2344.3422,,,
20.6119,2354.4425,,,
20.6339,2381.4278,,,
20.6559,2420.9533,,,
20.6779,2444.9558,,,
20.6999,2399.8479,,,
20.7219,2334.3589,,,
20.7439,2316.6135,,,
20.7659,2292.7374,,,
20.7879,2306.0473,,,
20.8099,2330,,,
20.8319,2266.4064,,,
20.8539,2232.6657,,,
20.8759,2299.7627,,,
20.8979,2250.2594,,,
20.9199,2180.8505,,,
20.9419,2234.006,,,
20.9639,2262.411,,,
20.9859,2227.2546,,,
21.0079,2203.3849,,,
21.0299,2216.5408,,,
21.0519,2261.0178,,,
21.0739,2229.1208,,,
21.0959,2225.884,,,
21.1179,2248.651,,,
21.1399,2212.1415,,,
21.1619,2210.3284,,,
21.1839,2243.0001,,,
21.2059,2222.8849,,,
21.2279,2279.2125,,,
21.2499,2267.0815,,,
21.2719,2260.6283,,,
21.2939,2228.3018,,,
21.3159,2252.4307,,,
21.3379,2218.1622,,,
21.3599,2156.3052,,,
21.3819,2174.9824,,,
21.4039,2246.9205,,,
21.4259,2230.705,,,
21.4479,2246.0035,,,
21.4699,2223.4218,,,
21.4919,2286.1781,,,
21.5139,2224.1926,,,
21.5359,2188.5147,,,
